Core,lat,lon,depth,Mg/Ca,d18O,O18T,reductive,mean_size,Reference,Notes
ANTIX/42083-1,-46.37,7.04,1955,1.8,2.24,5.8,N,283,Vázquez Riveiros et al. 2016,
ANTXI/22519-1,-53.22,-50.1,596,1.31,1.93,6.9,N,283,Vázquez Riveiros et al. 2016,
Cariaco,10.77,-64.77,450,4.37,NA,NA,N,231,Black et al. 2007,
Cariaco,10.77,-64.65,447,4.53,NA,NA,N,231,Wurtzel et al. 2013,
CH69-K9d,41.76,-47.35,4100,2.12,1.26,12.3,N,283,Labeyrie et al. 1999,
EM9606M200,55.5,-13.9,2543,2.09,NA,NA,N,283,Richter et al. 2009,
FI73139Cc,54.38,-16.21,2209,2.24,0.75,14.6,N,283,Cleroux et al. 2008,
FIIKR01c,52.28,-35.25,3886,2.01,1.5,10.3,N,283,Cleroux et al. 2008,
FIIKR03d,57.93,-29.13,2215,1.93,1.45,10.9,N,283,Vázquez Riveiros et al. 2016,
FIKR02c,58.08,-10.72,2005,2.47,1.17,12.7,N,283,Cleroux et al. 2008,
FIKR10c,55.6,-14.48,2216,2.2,0.99,13.5,N,283,Cleroux et al. 2008,
M29/12703-7,-38.51,-54.2,1187,1.58,2.07,7.1,N,283,Vázquez Riveiros et al. 2016,
M29/12709-7,-41.54,-57.06,1078,1.36,2.31,5.6,N,283,Vázquez Riveiros et al. 2016,
M29/12712-2,-43.67,-59.33,1228,1.45,2.69,3.9,N,283,Vázquez Riveiros et al. 2016,
M29/12726-3,-48.39,-56.93,1405,1.31,2.35,5.5,N,283,Vázquez Riveiros et al. 2016,
MD00-2374,-46.03,96.48,3250,1.68,2.07,6.3,N,283,Vázquez Riveiros et al. 2016,
MD02-2488,-46.47,88.02,3469,1.45,1.84,7.2,N,283,Vázquez Riveiros et al. 2016,
MD03-2674d,56.36,-27.81,2829,2.73,1.41,11.1,N,283,Vázquez Riveiros et al. 2016,
MD04-2717G,-48.96,65.93,1500,1.29,2.69,3.5,N,283,Vázquez Riveiros et al. 2016,
MD04-2718,-48.89,65.96,1428,1.3,2.56,4,N,283,Vázquez Riveiros et al. 2016,
MD07-3076Q,-44.15,-14.23,3770,1.38,1.97,7.4,N,283,Vázquez Riveiros et al. 2016,
MD08-3182d,52.7,-35.94,3757,2.49,1.73,9.4,N,283,Vázquez Riveiros et al. 2016,
MD12-3401Q,-44.68,80.39,3445,1.48,1.77,7.9,N,283,Vázquez Riveiros et al. 2016,
MD76-118,-37.32,78.48,2048,2.52,0.76,14.3,N,283,Vázquez Riveiros et al. 2016,
MD87-745,-54.25,-40.48,1920,0.92,3.12,2.1,N,283,Vázquez Riveiros et al. 2016,
MD88-774,-48.88,115.67,3330,1.68,1.97,6.5,N,283,Vázquez Riveiros et al. 2016,
MD94-103,-45.58,86.53,3600,1.49,1.84,7.4,N,283,Sicre et al. 2005,
MD95-2002,47.45,-8.53,2174,3.24,0.6,NA,N,283,Cleroux et al. 2008,
MD95-2002c,47.27,-8.32,2174,2.41,0.6,15.5,N,283,Cleroux et al. 2008,
MD95-2005d,57.03,-10.06,2130,2.62,1.19,12.6,N,283,Cleroux et al. 2008,
MD95-2017c,53.02,-33.31,3100,1.92,1.59,10.1,N,283,Cleroux et al. 2008,
MD95-2039d,40.58,-10.33,3381,2.39,0.81,15.5,N,283,Schonfeld et al. 2003,
MD97-2100,-35.97,80.93,2510,2.4,0.85,14,N,283,Vázquez Riveiros et al. 2016,
MD97-2101,-43.5,79.84,3200,1.62,1.48,9.5,N,283,Crosta et al. 2005,
NA87-22d,55.5,-14.5,2161,2.38,1.24,12.5,N,283,Vázquez Riveiros et al. 2016,
RAPiD121K,62.08,-17.82,1938,2.39,NA,NA,N,328,Thornalley et al. 2009,
RC11-120,-43.52,79.87,3135,1.64,NA,NA,N,300,Mashiotta et al. 1999,
RC11-120,-43.52,79.87,3135,1.65,NA,NA,N,300,Mashiotta et al. 1999,
SU90-02P8c,40.34,-30.56,2220,3.18,0.51,17.1,N,283,Cleroux et al. 2008,
SU90-03Pd,40.5,-32,2475,3.27,0.45,17.4,N,283,Chapman and Shackleton 1998,
SU90-06Pc,42,-32,3510,3.17,0.51,16.9,N,283,Cleroux et al. 2008,
SU90-08Pc,43.5,-30.35,3080,3.36,0.27,17.8,N,283,Cleroux et al. 2008,
SU90-37Sc,55.06,-20.44,2676,2.16,1.08,13,N,283,Cleroux et al. 2008,
SPR0901010BC,34.28,-120.04,586,2.12,NA,NA,Y,300,Pak et al. 2016,
NEAP2B,62.2,-23.1,1268,1.64,NA,,Y,328,Yu et al. 2008,
NEAP3B,61.5,-23.1,1502,1.43,NA,8,Y,328,Yu et al. 2008,
NEAP4B,61.2,-24.1,1627,1.55,NA,8,Y,328,Yu et al. 2008,
NEAP5B,61,-24.3,1826,1.8,NA,8.1,Y,328,Yu et al. 2008,
NEAP8B,59.4,-22.1,2360,1.6,NA,8.1,Y,328,Yu et al. 2008,
NEAP10B,59.5,-23.2,2221,1.77,NA,8.1,Y,328,Yu et al. 2008,
NEAP11B,59.5,-22.4,2484,1.58,NA,8.1,Y,328,Yu et al. 2008,
