Core,lat,lon,depth,Mg/Ca,d18O,O18T,reductive,mean_size,Reference,Notes
V29-178,42.85,-25.15,3448,1.46,1.172,NA,Y,390,Cleroux et al. 2013,
V29-178,42.85,-25.15,3448,1.38,1.286,NA,Y,390,Cleroux et al. 2013,
V30-97,41,-32.93,3371,1.13,1.127,NA,Y,390,Cleroux et al. 2013,
V30-97,41,-32.93,3371,1.32,1.231,NA,Y,390,Cleroux et al. 2013,
V30-96,39.95,-33.13,3188,1.2,0.938,NA,Y,390,Cleroux et al. 2013,
V30-96,39.95,-33.13,3188,1.32,NA,NA,Y,390,Cleroux et al. 2013,
V27-263,35.02,-40.92,3704,1.64,0.871,NA,Y,390,Cleroux et al. 2013,
V27-263,35.02,-40.92,3704,1.55,0.889,NA,Y,390,Cleroux et al. 2013,
V27-161,33.58,-13.97,4446,1.34,1.135,NA,Y,390,Cleroux et al. 2013,
V27-161,33.58,-13.97,4446,1.17,1.106,NA,Y,390,Cleroux et al. 2013,
V17-165,32.75,-41.9,3924,1.51,NA,NA,Y,390,Cleroux et al. 2013,
V17-165,32.75,-41.9,3924,1.34,NA,NA,Y,390,Cleroux et al. 2013,
V27-261,31.37,-35.98,3253,1.61,NA,NA,Y,390,Cleroux et al. 2013,
V27-261,31.37,-35.98,3253,1.66,NA,NA,Y,390,Cleroux et al. 2013,
V19-308,29.02,-41.4,3197,1.65,NA,NA,Y,390,Cleroux et al. 2013,
V19-308,29.02,-41.4,3197,1.86,NA,NA,Y,390,Cleroux et al. 2013,
V22-219,27.92,-43.63,2582,1.88,NA,NA,Y,390,Cleroux et al. 2013,
V22-219,27.92,-43.63,2582,1.8,NA,NA,Y,390,Cleroux et al. 2013,
V20-244,26,-48.27,3953,1.77,1.43,NA,Y,390,Cleroux et al. 2013,
V20-244,26,-48.27,3953,1.54,NA,NA,Y,390,Cleroux et al. 2013,
V10-93,24.2,-47.47,3574,2.02,1.546,NA,Y,390,Cleroux et al. 2013,
V16-206,23.33,-46.48,3733,2.08,1.332,NA,Y,390,Cleroux et al. 2013,
