Core,lat,lon,depth,Mg/Ca,d18O,O18T,reductive,mean_size,Reference,Notes
MW91-9_8_,-2.21,156.97,1625,4.48,-2.4,28.09,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
MW91-9_34_,-0.49,157.84,2022,4.28,-2.56,28.84,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
MW91-9_38_,0.01,159.37,2456,3.96,-2.13,26.8,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
ODP_806B_,0.32,159.36,2520,4.02,-2.4,28.11,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
CHN100_87PG_,-7.61,-167.95,4430,3.5,-1.64,25.41,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
TR-163_18_,2.81,-89.85,2030,2.9,-1.88,24.22,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
TR-163_19_,2.26,-90.95,2340,2.98,-1.87,24.4,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
TR-163_27_,-2.24,-86.59,3180,2.5,-1.12,22.09,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
TR-163_28_,-2.32,-86.24,3200,2.46,-0.86,20.88,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
TR-163_32_,-2.48,-82.99,2890,2.39,-1.4,23.19,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
AII-107_117_,-30.84,-38.24,3282,3.35,-0.94,23.35,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
AII-107_65_,-32.33,-36.18,2795,2.97,-0.48,26.56,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
AII-107_67_,-31.92,-36.2,2587,2.91,-0.34,NA,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
AII-107_69_,-31.67,-36.17,2158,2.71,-0.42,NA,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
AII-107_71_,-31.52,-35.93,1887,3.32,-0.27,NA,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
AII107-143_73_,-31.41,-35.88,1660,3.03,0.08,NA,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
AII107-177_107_,-30.88,-37.81,2795,3.37,-0.46,NA,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
KNR-110_50_,4.87,-43.21,3995,4.01,-2.12,29.41,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
KNR-110_55_,4.95,-42.89,4556,3.26,-1.84,28.02,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
KNR-110_58_,4.79,-43.04,4341,3.8,-1.93,28.48,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
KNR-110_66_,4.56,-43.38,3547,4.1,-2.08,NA,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
KNR-110_71_,4.36,-43.7,3164,3.94,-2.08,29.3,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
KNR-110_75_,4.34,-43.41,3063,3.69,-2.32,30.5,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
KNR-110_82_,4.34,-43.49,2816,3.85,-2.31,30.45,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
KNR-110_91_,4.76,-43.31,3810,3.74,-2.3,30.32,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
KNR-64_5PG,16.52,-74.81,3047,4.27,-2.19,29.66,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
EN66_10,6.64,-21.9,3527,3.35,-0.94,23.35,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
EN66_29,2.46,-19.76,5105,2.97,-0.48,26.56,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
EN66_44,5.26,-21.71,3423,3.45,-1.71,27.02,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
EN6616_,5.45,-21.14,3160,3.31,-1.78,27.35,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
OCE_173-4__G’_,31.9,-64.3,4469,3.13,-0.58,22.91,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
V25-59_,1.37,-33.48,3824,3.57,-2.01,29.04,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
V30-49_,18.43,-21.83,3093,3.2,-1.44,26.62,Y,300,Dekens et al. 2002,d18OT calculated from Shakleton relationship using Arbuszewski d18Ow
Site_1055,32.75,-76.25,1809,4.46,-1.56,27.23,Y,303,deMenocal unpublished; conditions of Arbuszewski assumed,
Site_999,12.75,-78.75,2828,4.14,-1.86,28.1,Y,300,Schmidt 2004,
VM28-122,11.5,-78.45,3623,3.83,-1.97,28.61,Y,300,Schmidt 2004,
MC62,24.3,-83.25,547,4.21,-1.55,26.93,Y,231,Lund and Curry 2006,
MC118,24.55,-79.25,531,4.91,-1.92,29.04,Y,231,Lund and Curry 2006,
MC125,24.75,-79.26,694,4.86,-1.93,29.09,Y,231,Lund and Curry 2006,
Pigmy_Basin_(PBBC-1),27.18,-91.4,2280,4.4,-1.53,26.99,N,275,Richey et al 2007,
PL07-39PC,10.7,-64.93,790,4.27,-1.11,25.48,Y,300,Lea et al. 2003,
INMD48BX.1,29.81,-43.22,2836,4.59,-0.48,23.23,N,283,Mathien-Blard and Bassinot 2009,
INMD68BX.6,34.8,-28.37,2520,3.61,-0.27,21.56,N,283,Mathien-Blard and Bassinot 2009,
MD952038,37.75,-20.18,2310,2.84,-0.12,20.42,N,283,Mathien-Blard and Bassinot 2009,
9007P,42.5,-32.35,3290,3.02,-0.05,19.38,N,283,Mathien-Blard and Bassinot 2009,
9004P,41,-32,2865,3.33,-0.42,21.2,N,283,Mathien-Blard and Bassinot 2009,
9002P,40.57,-30.95,2220,3.2,-0.06,19.65,N,283,Mathien-Blard and Bassinot 2009,
9003P,40.05,-32,2475,3,-0.27,20.65,N,283,Mathien-Blard and Bassinot 2009,
9008P,43.83,-30.58,3080,3.04,-0.29,20.29,N,283,Mathien-Blard and Bassinot 2009,
9006P,42,-32.67,3510,2.96,0,19.16,N,283,Mathien-Blard and Bassinot 2009,
CHO_288-54,17.43,-77.65,1020,5.36,-2.06,29.01,N,283,Mathien-Blard and Bassinot 2009,
MD95-2002,47.45,-8.53,2174,2.09,0.34,16.68,N,283,Mathien-Blard and Bassinot 2009,
MD99-2203,34.97,-75.2,620,4.43,-1.42,25.44,N,283,Mathien-Blard and Bassinot 2009,
