Core,lat,lon,depth,Mg/Ca,d18O,O18T,reductive,mean_size,Reference,Notes
HM133-05i,64.33,-6.08,3310,0.93,2.62,6,N,181,Meland et al. 2006,Sinstral
HM133-40l,61.14,-2.15,546,1.29,2.56,6.5,N,181,Meland et al. 2006,Sinstral
HM16130,65.1,-2.42,3182,0.99,2.4,6.4,N,181,Meland et al. 2006,Sinstral
HM16132,64.57,-0.72,2798,0.8,2.58,6,N,181,Meland et al. 2006,Sinstral
HM16142,63.25,2.6,1100,0.93,1.83,8.5,N,181,Meland et al. 2006,Sinstral
HM49-15,66.34,-0.36,3260,0.91,2.23,7.6,N,181,Meland et al. 2006,Sinstral
HM52-33,65.27,-8.81,1002,0.74,3.09,3.8,N,181,Meland et al. 2006,Sinstral
HM52-39,65.57,-6.79,2305,0.97,2.73,5.2,N,181,Meland et al. 2006,Sinstral
HM52-41,65.52,-4.63,3905,0.74,2.55,6,N,181,Meland et al. 2006,Sinstral
HM52-42,66.34,-2.8,3104,1.04,2.38,6.7,N,181,Meland et al. 2006,Sinstral
HM57-05,69.14,-13.12,1892,0.93,3.55,2,N,181,Meland et al. 2006,Sinstral
HM57-09,67.47,-11.4,1662,0.88,3.32,2.9,N,181,Meland et al. 2006,Sinstral
HM57-11,67.12,-8.3,1617,0.8,3.19,3.1,N,181,Meland et al. 2006,Sinstral
HM57-12,67.08,-7.32,2093,0.88,2.83,4.5,N,181,Meland et al. 2006,Sinstral
HM57-16,67.28,-4.37,2816,1.07,2.59,6,N,181,Meland et al. 2006,Sinstral
HM57-20,62.65,1.67,750,0.85,2.92,4.3,N,181,Meland et al. 2006,Sinstral
HM58-08,62.63,1.19,900,0.83,2.31,6.8,N,181,Meland et al. 2006,Sinstral
HM71-12,68.43,-13.87,1633,0.85,3.49,2,N,181,Meland et al. 2006,Sinstral
HM71-17,70,-13.02,1460,1,3.4,2.6,N,181,Meland et al. 2006,Sinstral
HM71-20,70.07,-6.88,2005,0.84,2.9,4.8,N,181,Meland et al. 2006,Sinstral
HM71-21,69.96,-6.16,2612,0.79,2.79,5.4,N,181,Meland et al. 2006,Sinstral
HM71-22,69.34,-3.61,1833,1.04,2.44,7.1,N,181,Meland et al. 2006,Sinstral
HM71-25,68,0.23,2850,0.79,2.29,7.5,N,181,Meland et al. 2006,Sinstral
HM80-43,72.25,-9.19,2448,0.98,3.5,2.8,N,181,Meland et al. 2006,Sinstral
HM94-12,71.32,-3.55,1816,0.8,3.23,4.1,N,181,Meland et al. 2006,Sinstral
HM94-16,73.23,5.37,2356,0.87,3.32,3.3,N,181,Meland et al. 2006,Sinstral
HM94-18,74.5,5.7,2469,0.91,3.47,2.9,N,181,Meland et al. 2006,Sinstral
HM94-30,74.38,-2,3599,0.92,3.67,2.2,N,181,Meland et al. 2006,Sinstral
HM94-36,74.53,-9.58,3217,0.86,3.42,3.2,N,181,Meland et al. 2006,Sinstral
HM94-42,68.45,-22.3,1339,0.91,3.41,3.1,N,181,Meland et al. 2006,Sinstral
JM97-948n,66.97,7.64,1048,0.82,2.01,8.6,N,181,Meland et al. 2006,Sinstral
M23342,72.2,-13,1974,0.77,3.41,2.8,N,181,Meland et al. 2006,Sinstral
M23343,72.21,-13,2400,1.02,3.36,3,N,181,Meland et al. 2006,Sinstral
M23344,71.73,-15.58,1080,0.9,3.38,1.7,N,181,Meland et al. 2006,Sinstral
M23347,70.44,-16.08,1229,0.85,3.38,1.6,N,181,Meland et al. 2006,Sinstral
M23348,70.42,-18.95,727,0.89,3.24,1.5,N,181,Meland et al. 2006,Sinstral
M23351,70.36,-18.21,1632,0.97,3.35,1.8,N,181,Meland et al. 2006,Sinstral
M23353,70.57,-12.72,1394,0.93,3.3,3.1,N,181,Meland et al. 2006,Sinstral
M23354,70.33,-10.63,1747,0.76,3.23,3.7,N,181,Meland et al. 2006,Sinstral
RAPiD-35-25B_POC,57.504167,-48.72,3484,0.91,NA,NA,N,181,Moffa-Sanchez et al. 2014,Sinstral
NEAP 2B,62.2,-23.1,1268,1.06,NA,8.5,Y,275,Yu et al. 2008,Dextral
NEAP 3B,61.5,-23.1,1502,0.9,NA,9,Y,275,Yu et al. 2008,Dextral
NEAP 4B,61.2,-24.1,1627,1.01,NA,9.5,Y,275,Yu et al. 2008,Dextral
NEAP 5B,61,-24.3,1826,1,NA,10,Y,275,Yu et al. 2008,Dextral
NEAP 7B,60.2,-23.4,1997,1.01,NA,NA,Y,275,Yu et al. 2008,Dextral
NEAP 8B,59.4,-22.1,2360,0.97,NA,10.32,Y,275,Yu et al. 2008,Dextral
NEAP 10B,59.5,-23.2,2221,1,NA,10.35,Y,275,Yu et al. 2008,Dextral
NEAP 11B,59.5,-22.4,2484,1,NA,10.3,Y,275,Yu et al. 2008,Dextral
NEAP 12B,58.4,-23.9,2786,1,NA,10.4,Y,275,Yu et al. 2008,Dextral
NEAP 13B,58.6,-24.2,2546,1.02,NA,10.4,Y,275,Yu et al. 2008,Dextral
NEAP 15B,57.4,-25.4,2703,1.02,NA,10.5,Y,275,Yu et al. 2008,Dextral
NEAP 16B,56.2,-27.5,2847,0.89,NA,NA,Y,275,Yu et al. 2008,Dextral
NEAP 17B,56.1,-27.2,2734,1.14,NA,10,Y,275,Yu et al. 2008,Dextral
NEAP 18B,54.4,-28.2,2879,0.96,NA,9.7,Y,275,Yu et al. 2008,Dextral
NEAP 19B,52.5,-30.2,3283,1.09,NA,9.8,Y,275,Yu et al. 2008,Dextral
T86 10S,37.1,-30,2610,1.32,NA,15.06,Y,275,Yu et al. 2008,Dextral
T86 1B,53.4,-27.5,2580,1.2,NA,9.93,Y,275,Yu et al. 2008,Dextral
T86 3B,50.2,-27,3113,1.09,NA,13.92,Y,275,Yu et al. 2008,Dextral
T86 5B,46.9,-25.4,3121,1.4,NA,13.01,Y,275,Yu et al. 2008,Dextral
T86 8B,42.3,-25.7,3232,1.39,NA,13.65,Y,275,Yu et al. 2008,Dextral
T86 9B,40.8,-27.5,2026,1.44,NA,12.39,Y,275,Yu et al. 2008,Dextral
T88 2B,57.9,-26,2767,1.04,NA,10.65,Y,275,Yu et al. 2008,Dextral
T88 3B,56.4,-27.8,2819,0.96,NA,10.04,Y,275,Yu et al. 2008,Dextral
T88 4B,55,-28.3,2821,1.12,NA,9.69,Y,275,Yu et al. 2008,Dextral
T88 5B,53.6,-27.1,2812,1.12,NA,9.2,Y,275,Yu et al. 2008,Dextral
T88 6B,51.4,-25.8,3381,1.07,NA,10.49,Y,275,Yu et al. 2008,Dextral
T88 7B,50.5,-26.5,3013,1.29,NA,12.11,Y,275,Yu et al. 2008,Dextral
T88 9B,48.4,-25.1,3074,1.25,NA,9.65,Y,275,Yu et al. 2008,Dextral
T88 11B,45.4,-25.4,2741,1.28,NA,12.88,Y,275,Yu et al. 2008,Dextral
T88 12B,44.1,-24.9,3052,1.32,NA,13.38,Y,275,Yu et al. 2008,Dextral
T88 13B,42.9,-25.3,3133,1.29,NA,13.54,Y,275,Yu et al. 2008,Dextral
T88 14B,40.4,-25.8,2858,1.25,NA,12.87,Y,275,Yu et al. 2008,Dextral
T88 15aB,38.9,-25,2738,1.29,NA,13.6,Y,275,Yu et al. 2008,Dextral
T88 15B,38.6,-25,2585,1.41,NA,14.91,Y,275,Yu et al. 2008,Dextral
T88 16B,37.7,-25.8,577,1.42,NA,NA,Y,275,Yu et al. 2008,Dextral
T90 1B,58.5,-20.5,2911,1.11,NA,NA,Y,275,Yu et al. 2008,Dextral
T90 2B,53.1,-20.8,2731,1.05,NA,13.63,Y,275,Yu et al. 2008,Dextral
T90 3B,47.7,-20.8,4479,0.94,NA,NA,Y,275,Yu et al. 2008,Dextral
T90 4B,47.2,-21.4,3945,1.19,NA,NA,Y,275,Yu et al. 2008,Dextral
T90 5B,46,-23.8,3069,1.17,NA,NA,Y,275,Yu et al. 2008,Dextral
T90 8B,46.2,-23.7,3393,1.29,NA,NA,Y,275,Yu et al. 2008,Dextral
T90 11B,45,-24.7,3208,1.3,NA,NA,Y,275,Yu et al. 2008,Dextral
T90 15B,47.6,-20.9,4177,1.15,NA,NA,Y,275,Yu et al. 2008,Dextral
23231-2,78.9,-3.99,1979,1.17,3.06,1.7,N,181,Kozdon et al. 2009; Simstich et al. 2003,Sinstral
23232-1,79.03,-1.62,2642,1.27,3.37,1.8,N,181,Kozdon et al. 2009; Simstich et al. 2003,Sinstral
23233-1,79.41,6.88,1264,1.2,2.9,3.2,N,181,Kozdon et al. 2009; Simstich et al. 2003,Sinstral
23235-1,78.87,1.39,2500,0.9,3.03,2.6,N,181,Kozdon et al. 2009; Simstich et al. 2003,Sinstral
23259-3,72.02,9.3,2518,1.01,2.5,5.1,N,181,Kozdon et al. 2009; Simstich et al. 2003,Sinstral
23261-2,72.18,13.11,2224,0.97,2.55,5,N,181,Kozdon et al. 2009; Simstich et al. 2003,Sinstral
23508-1,73.86,-9.4,3202,1.2,3.35,1.3,N,181,Kozdon et al. 2009; Simstich et al. 2003,Sinstral
23509-1,73.83,-13.5,2576,1.37,3.41,0.9,N,181,Kozdon et al. 2009; Simstich et al. 2003,Sinstral
23514-3,66.67,-25.95,713,0.88,3.48,0.8,N,181,Kozdon et al. 2009; Simstich et al. 2003,Sinstral
ANTVI/3 1622-1,-78.25,-37.81,1104,0.65,3.41,1.2,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTII/4 1220-3,-76.75,-36.32,996,0.7,3.63,0.4,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTII/4 1212-1,-75.52,-56.9,425,0.59,3.51,0.9,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTIV/3 1423-1,-74.7,-61.32,478,0.77,3.56,0.7,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTV/4 1489-3,-74.66,-31.97,602,0.66,3.6,0.5,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTIV/3 1416-1,-74.33,-36.02,1527,0.75,3.7,0.1,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTV/4 1494-3,-74.18,-35.49,1944,0.59,3.59,0.5,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTXI/3 2531-1,-72.83,-72.58,757,1.38,2.83,2.4,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTIV/3 1373-2,-72.25,-16.88,1237,0.56,3.61,0.4,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTXI/3 2544-1,-71.8,-105.19,546,0.55,2.07,5.8,N,225,Vázquez Riveiros et al. 2016,Sinstral
ANTIV/3 1391-1,-70.1,-6.5,1797,0.61,3.66,0.2,N,225,Vázquez Riveiros et al. 2016,Sinstral
