Species,Experiment type,Temp,Salinity,CO32-,Ω Calcite,pH,Mg/Ca,Reference
G. bulloides,low temperature,18.5,33.1,173,4.2,8.06,2.915,"Allen et al., 2016"
G. bulloides,ambient,22.5,33,174,4.2,8.01,4.445,"Allen et al., 2016"
G. bulloides,high pH,22.1,32.7,301,7.3,8.28,3.442,"Allen et al., 2016"
G. bulloides,Low pH,22,33.7,95,2.3,7.75,7.75,"Allen et al., 2016"
G. bulloides,Ambient,22,33.7,271,6.6,8.26,3.82,"Allen et al., 2016"
G. bulloides,High pH,22,33.7,556,13.4,8.66,2.69,"Allen et al., 2016"
G. ruber,low temperature,24,35.6,212,5.1,8.04,4.178,"Allen et al., 2016"
G. ruber,ambient,25.7,35.4,221,5.3,8.04,3.995,"Allen et al., 2016"
G. ruber,high temperature,29.3,35.2,220,5.3,7.98,5.297,"Allen et al., 2016"
G. ruber,low salinity,25.7,33,184,4.5,7.99,3.88,"Allen et al., 2016"
G. ruber,ambient,25.7,35.4,221,5.3,8.04,3.995,"Allen et al., 2016"
G. ruber,high salinity,25.3,40,264,6.1,8.04,5.03,"Allen et al., 2016"
G. ruber,low pH,25.7,35.5,66,1.6,7.49,5.149,"Allen et al., 2016"
G. ruber,ambient,25.7,35.4,221,5.3,8.04,3.995,"Allen et al., 2016"
G. ruber,high pH,25.7,35.5,497,11.9,8.45,3.683,"Allen et al., 2016"
G. sacculifer,low temperature,24,35.6,212,5.1,8.04,3.339,"Allen et al., 2016"
G. sacculifer,ambient,25.7,35.4,221,5.3,8.04,3.763,"Allen et al., 2016"
G. sacculifer,ambient,25.7,35.4,221,5.3,8.04,3.896,"Allen et al., 2016"
G. sacculifer,high temperature,29.3,35.2,220,5.3,7.98,4.702,"Allen et al., 2016"
G. sacculifer,low salinity ,25.7,33,184,4.5,7.99,3.546,"Allen et al., 2016"
G. sacculifer,ambient,25.7,35.4,221,5.3,8.04,3.763,"Allen et al., 2016"
G. sacculifer,ambient,25.7,35.4,221,5.3,8.04,3.896,"Allen et al., 2016"
G. sacculifer,high salinity,25.3,40,264,6.1,8.04,4.998,"Allen et al., 2016"
G. sacculifer,low DIC,25.7,35.4,100,2.4,7.93,3.647,"Allen et al., 2016"
G. sacculifer,ambient,25.7,35.4,221,5.3,8.04,3.763,"Allen et al., 2016"
G. sacculifer,ambient,25.7,35.4,221,5.3,8.04,3.896,"Allen et al., 2016"
G. sacculifer,high DIC,25.6,35.4,480,11.5,8.07,4.126,"Allen et al., 2016"
G. sacculifer,low pH,25.7,35.5,66,1.6,7.49,3.746,"Allen et al., 2016"
G. sacculifer,low pH,25.7,35.5,66,1.6,7.49,3.872,"Allen et al., 2016"
G. sacculifer,ambient,25.7,35.4,221,5.3,8.04,3.763,"Allen et al., 2016"
G. sacculifer,ambient,25.7,35.4,221,5.3,8.04,3.896,"Allen et al., 2016"
G. sacculifer,high pH,25.7,35.5,497,11.9,8.45,3.746,"Allen et al., 2016"
G. sacculifer,high pH,25.7,35.5,497,11.9,8.45,3.5,"Allen et al., 2016"
G. sacculifer,"high pH, final chamber",25.7,35.5,497,11.9,8.45,3.274,"Allen et al., 2016"
G. sacculifer,high pH (weighted avg.),25.7,35.5,497,11.9,8.45,3.586,"Allen et al., 2016"
O. universa,lowest temperature,17.7,33.1,177,4.3,8.09,6.222,"Allen et al., 2016"
O. universa,low temperature,19.6,33.1,168,4.1,8.03,5.268,"Allen et al., 2016"
O. universa,ambient,22.3,33.3,174,4.2,8,10.203,"Allen et al., 2016"
O. universa,ambient,22.3,33.3,174,4.2,8,8.948,"Allen et al., 2016"
O. universa,high temperature,26.5,33,174,4.3,7.94,7.846,"Allen et al., 2016"
O. universa,low pH,22.1,33.3,70,1.7,7.59,8.588,"Allen et al., 2016"
O. universa,ambient,22.3,33.3,174,4.2,8,10.203,"Allen et al., 2016"
O. universa,ambient,22.3,33.3,174,4.2,8,8.948,"Allen et al., 2016"
O. universa,high pH,22.1,33.3,299,7.3,8.27,6.773,"Allen et al., 2016"
O. universa,highest pH,22.1,33.3,581,14.1,8.63,4.672,"Allen et al., 2016"
O. universa,lowest salinity,22.1,29.9,154,3.8,8.03,7.032,"Allen et al., 2016"
O. universa,lowest salinity,22.1,29.9,154,3.8,8.03,6.354,"Allen et al., 2016"
O. universa,low salinity,22.3,31.5,157,3.9,7.99,7.492,"Allen et al., 2016"
O. universa,low salinity,22.3,31.5,157,3.9,7.99,8.169,"Allen et al., 2016"
O. universa,ambient,22.3,33.3,174,4.2,8,10.203,"Allen et al., 2016"
O. universa,ambient,22.3,33.3,174,4.2,8,8.948,"Allen et al., 2016"
